w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
1.400, 6.0 | 1.055 | 1.253 | 0.439
1.400, 7.0 | 1.042 | 1.202 | 0.374
1.400, 8.0 | 1.029 | 1.170 | 0.329
1.400, 9.0 | 1.018 | 1.153 | 0.301
1.400, 10.0 | 1.007 | 1.145 | 0.282
1.400, 11.0 | 0.997 | 1.140 | 0.267
1.400, 12.0 | 0.988 | 1.131 | 0.249
1.400, 13.0 | 0.980 | 1.113 | 0.223
1.400, 14.0 | 0.973 | 1.081 | 0.184
1.400, 15.0 | 0.967 | 1.034 | 0.132
1.400, 16.0 | 0.962 | 0.978 | 0.070
1.400, 17.0 | 0.958 | 0.917 | 0.091
1.400, 18.0 | 0.956 | 0.859 | 0.147
1.400, 19.0 | 0.954 | 0.808 | 0.196
1.400, 20.0 | 0.954 | 0.765 | 0.238
1.500, 0.0 | 1.186 | 0.841 | 0.396
1.500, 1.0 | 1.171 | 0.852 | 0.369
1.500, 2.0 | 1.157 | 0.865 | 0.342
1.500, 3.0 | 1.143 | 0.877 | 0.317
1.500, 4.0 | 1.130 | 0.886 | 0.294
1.500, 5.0 | 1.117 | 0.893 | 0.275
1.500, 6.0 | 1.105 | 0.895 | 0.261
1.500, 7.0 | 1.094 | 0.892 | 0.252
1.500, 8.0 | 1.084 | 0.885 | 0.249
1.500, 9.0 | 1.074 | 0.874 | 0.251
1.500, 10.0 | 1.065 | 0.859 | 0.256
1.500, 11.0 | 1.057 | 0.843 | 0.264
1.500, 12.0 | 1.050 | 0.825 | 0.275
1.500, 13.0 | 1.043 | 0.807 | 0.287
1.500, 14.0 | 1.038 | 0.789 | 0.299
1.500, 15.0 | 1.033 | 0.772 | 0.311
1.500, 16.0 | 1.029 | 0.756 | 0.323
1.500, 17.0 | 1.026 | 0.741 | 0.334
1.500, 18.0 | 1.023 | 0.728 | 0.346
1.500, 19.0 | 1.022 | 0.716 | 0.356
1.500, 20.0 | 1.022 | 0.705 | 0.367
1.600, 0.0 | 1.228 | 0.807 | 0.471
1.600, 1.0 | 1.215 | 0.801 | 0.464
1.600, 2.0 | 1.203 | 0.796 | 0.457
1.600, 3.0 | 1.191 | 0.791 | 0.450
1.600, 4.0 | 1.180 | 0.787 | 0.443
1.600, 5.0 | 1.169 | 0.782 | 0.437
1.600, 6.0 | 1.159 | 0.778 | 0.431
1.600, 7.0 | 1.150 | 0.774 | 0.426
1.600, 8.0 | 1.141 | 0.770 | 0.422
1.600, 9.0 | 1.133 | 0.765 | 0.418
1.600, 10.0 | 1.126 | 0.761 | 0.415
1.600, 11.0 | 1.119 | 0.756 | 0.414
1.600, 12.0 | 1.113 | 0.750 | 0.413
1.600, 13.0 | 1.108 | 0.745 | 0.413
1.600, 14.0 | 1.103 | 0.739 | 0.414
1.600, 15.0 | 1.099 | 0.733 | 0.416
1.600, 16.0 | 1.096 | 0.727 | 0.418
1.600, 17.0 | 1.093 | 0.721 | 0.422
1.600, 18.0 | 1.091 | 0.715 | 0.427
1.600, 19.0 | 1.090 | 0.708 | 0.432
1.600, 20.0 | 1.090 | 0.701 | 0.439
1.700, 0.0 | 1.274 | 0.811 | 0.513
1.700, 1.0 | 1.263 | 0.807 | 0.507
1.700, 2.0 | 1.253 | 0.802 | 0.501
1.700, 3.0 | 1.243 | 0.797 | 0.497
1.700, 4.0 | 1.234 | 0.791 | 0.492
1.700, 5.0 | 1.225 | 0.786 | 0.489
1.700, 6.0 | 1.216 | 0.781 | 0.486
1.700, 7.0 | 1.208 | 0.775 | 0.483
1.700, 8.0 | 1.201 | 0.770 | 0.481
1.700, 9.0 | 1.194 | 0.764 | 0.480
1.700, 10.0 | 1.188 | 0.759 | 0.479
1.700, 11.0 | 1.182 | 0.753 | 0.479
1.700, 12.0 | 1.177 | 0.747 | 0.480
1.700, 13.0 | 1.173 | 0.742 | 0.481
1.700, 14.0 | 1.169 | 0.736 | 0.483
1.700, 15.0 | 1.166 | 0.730 | 0.486
1.700, 16.0 | 1.163 | 0.724 | 0.489
1.700, 17.0 | 1.161 | 0.718 | 0.493
1.700, 18.0 | 1.159 | 0.712 | 0.498
1.700, 19.0 | 1.158 | 0.706 | 0.503
1.700, 20.0 | 1.158 | 0.700 | 0.508
1.800, 0.0 | 1.325 | 0.772 | 0.603
1.800, 1.0 | 1.316 | 0.770 | 0.596
1.800, 2.0 | 1.307 | 0.768 | 0.589
1.800, 3.0 | 1.298 | 0.765 | 0.583
1.800, 4.0 | 1.290 | 0.762 | 0.578
1.800, 5.0 | 1.283 | 0.759 | 0.574
1.800, 6.0 | 1.275 | 0.755 | 0.571
1.800, 7.0 | 1.269 | 0.751 | 0.568
1.800, 8.0 | 1.263 | 0.747 | 0.566
1.800, 9.0 | 1.257 | 0.743 | 0.564
1.800, 10.0 | 1.252 | 0.738 | 0.563
1.800, 11.0 | 1.247 | 0.734 | 0.563
1.800, 12.0 | 1.242 | 0.729 | 0.563
1.800, 13.0 | 1.239 | 0.725 | 0.564
1.800, 14.0 | 1.235 | 0.720 | 0.565
1.800, 15.0 | 1.232 | 0.716 | 0.567
1.800, 16.0 | 1.230 | 0.711 | 0.569
1.800, 17.0 | 1.228 | 0.707 | 0.572
1.800, 18.0 | 1.227 | 0.702 | 0.575
1.800, 19.0 | 1.226 | 0.698 | 0.578
1.800, 20.0 | 1.226 | 0.694 | 0.582
1.900, 0.0 | 1.379 | 0.737 | 0.692
1.900, 1.0 | 1.371 | 0.736 | 0.685
1.900, 2.0 | 1.363 | 0.735 | 0.679
1.900, 3.0 | 1.356 | 0.733 | 0.673
1.900, 4.0 | 1.349 | 0.731 | 0.668
1.900, 5.0 | 1.342 | 0.729 | 0.664
1.900, 6.0 | 1.336 | 0.727 | 0.660
1.900, 7.0 | 1.331 | 0.724 | 0.656
1.900, 8.0 | 1.325 | 0.722 | 0.654
1.900, 9.0 | 1.320 | 0.719 | 0.651
1.900, 10.0 | 1.316 | 0.716 | 0.649
1.900, 11.0 | 1.312 | 0.714 | 0.648
1.900, 12.0 | 1.308 | 0.711 | 0.647
1.900, 13.0 | 1.305 | 0.708 | 0.647
1.900, 14.0 | 1.302 | 0.705 | 0.647
