w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.110, 4.0 | 2.131 | 0.840 | 0.579
3.110, 5.0 | 2.129 | 0.839 | 0.581
3.110, 6.0 | 2.128 | 0.839 | 0.583
3.110, 7.0 | 2.127 | 0.839 | 0.584
3.110, 8.0 | 2.125 | 0.839 | 0.586
3.110, 9.0 | 2.124 | 0.839 | 0.587
3.110, 10.0 | 2.123 | 0.839 | 0.588
3.110, 11.0 | 2.122 | 0.839 | 0.589
3.110, 12.0 | 2.121 | 0.839 | 0.590
3.110, 13.0 | 2.121 | 0.839 | 0.590
3.110, 14.0 | 2.120 | 0.839 | 0.591
3.110, 15.0 | 2.120 | 0.839 | 0.591
3.110, 16.0 | 2.119 | 0.839 | 0.592
3.110, 17.0 | 2.119 | 0.839 | 0.592
3.110, 18.0 | 2.118 | 0.840 | 0.592
3.110, 19.0 | 2.118 | 0.840 | 0.592
3.110, 20.0 | 2.118 | 0.840 | 0.592
3.120, 0.0 | 2.145 | 0.843 | 0.562
3.120, 1.0 | 2.143 | 0.842 | 0.565
3.120, 2.0 | 2.141 | 0.842 | 0.567
3.120, 3.0 | 2.139 | 0.842 | 0.569
3.120, 4.0 | 2.138 | 0.842 | 0.571
3.120, 5.0 | 2.136 | 0.841 | 0.572
3.120, 6.0 | 2.135 | 0.841 | 0.574
3.120, 7.0 | 2.133 | 0.841 | 0.575
3.120, 8.0 | 2.132 | 0.841 | 0.577
3.120, 9.0 | 2.131 | 0.841 | 0.578
3.120, 10.0 | 2.130 | 0.841 | 0.579
3.120, 11.0 | 2.129 | 0.841 | 0.580
3.120, 12.0 | 2.128 | 0.841 | 0.581
3.120, 13.0 | 2.127 | 0.841 | 0.582
3.120, 14.0 | 2.127 | 0.841 | 0.582
3.120, 15.0 | 2.126 | 0.841 | 0.583
3.120, 16.0 | 2.126 | 0.841 | 0.583
3.120, 17.0 | 2.126 | 0.841 | 0.583
3.120, 18.0 | 2.125 | 0.842 | 0.583
3.120, 19.0 | 2.125 | 0.842 | 0.583
3.120, 20.0 | 2.125 | 0.842 | 0.583
3.130, 0.0 | 2.151 | 0.845 | 0.554
3.130, 1.0 | 2.149 | 0.844 | 0.556
3.130, 2.0 | 2.148 | 0.844 | 0.558
3.130, 3.0 | 2.146 | 0.844 | 0.560
3.130, 4.0 | 2.144 | 0.844 | 0.562
3.130, 5.0 | 2.143 | 0.844 | 0.564
3.130, 6.0 | 2.141 | 0.843 | 0.565
3.130, 7.0 | 2.140 | 0.843 | 0.567
3.130, 8.0 | 2.139 | 0.843 | 0.568
3.130, 9.0 | 2.138 | 0.843 | 0.569
3.130, 10.0 | 2.137 | 0.843 | 0.570
3.130, 11.0 | 2.136 | 0.843 | 0.571
3.130, 12.0 | 2.135 | 0.843 | 0.572
3.130, 13.0 | 2.134 | 0.843 | 0.573
3.130, 14.0 | 2.134 | 0.843 | 0.573
3.130, 15.0 | 2.133 | 0.843 | 0.574
3.130, 16.0 | 2.133 | 0.843 | 0.574
3.130, 17.0 | 2.132 | 0.844 | 0.574
3.130, 18.0 | 2.132 | 0.844 | 0.574
3.130, 19.0 | 2.132 | 0.844 | 0.574
3.130, 20.0 | 2.132 | 0.844 | 0.574
3.140, 0.0 | 2.158 | 0.847 | 0.545
3.140, 1.0 | 2.156 | 0.847 | 0.547
3.140, 2.0 | 2.154 | 0.846 | 0.549
3.140, 3.0 | 2.153 | 0.846 | 0.551
3.140, 4.0 | 2.151 | 0.846 | 0.553
3.140, 5.0 | 2.150 | 0.846 | 0.555
3.140, 6.0 | 2.148 | 0.845 | 0.556
3.140, 7.0 | 2.147 | 0.845 | 0.558
3.140, 8.0 | 2.146 | 0.845 | 0.559
3.140, 9.0 | 2.145 | 0.845 | 0.560
3.140, 10.0 | 2.144 | 0.845 | 0.561
3.140, 11.0 | 2.143 | 0.845 | 0.562
3.140, 12.0 | 2.142 | 0.845 | 0.563
3.140, 13.0 | 2.141 | 0.845 | 0.564
3.140, 14.0 | 2.140 | 0.845 | 0.564
3.140, 15.0 | 2.140 | 0.845 | 0.565
3.140, 16.0 | 2.139 | 0.845 | 0.565
3.140, 17.0 | 2.139 | 0.846 | 0.565
3.140, 18.0 | 2.139 | 0.846 | 0.565
3.140, 19.0 | 2.139 | 0.846 | 0.565
3.140, 20.0 | 2.139 | 0.846 | 0.565
3.150, 0.0 | 2.165 | 0.849 | 0.536
3.150, 1.0 | 2.163 | 0.849 | 0.539
3.150, 2.0 | 2.161 | 0.848 | 0.541
3.150, 3.0 | 2.159 | 0.848 | 0.543
3.150, 4.0 | 2.158 | 0.848 | 0.544
3.150, 5.0 | 2.156 | 0.848 | 0.546
3.150, 6.0 | 2.155 | 0.848 | 0.548
3.150, 7.0 | 2.154 | 0.847 | 0.549
3.150, 8.0 | 2.152 | 0.847 | 0.550
3.150, 9.0 | 2.151 | 0.847 | 0.551
3.150, 10.0 | 2.150 | 0.847 | 0.552
3.150, 11.0 | 2.149 | 0.847 | 0.553
3.150, 12.0 | 2.149 | 0.847 | 0.554
3.150, 13.0 | 2.148 | 0.847 | 0.555
3.150, 14.0 | 2.147 | 0.847 | 0.555
3.150, 15.0 | 2.147 | 0.847 | 0.556
3.150, 16.0 | 2.146 | 0.848 | 0.556
3.150, 17.0 | 2.146 | 0.848 | 0.556
3.150, 18.0 | 2.146 | 0.848 | 0.556
3.150, 19.0 | 2.146 | 0.848 | 0.556
3.150, 20.0 | 2.145 | 0.849 | 0.556
3.160, 0.0 | 2.171 | 0.851 | 0.528
3.160, 1.0 | 2.169 | 0.851 | 0.530
3.160, 2.0 | 2.168 | 0.850 | 0.532
3.160, 3.0 | 2.166 | 0.850 | 0.534
3.160, 4.0 | 2.164 | 0.850 | 0.535
3.160, 5.0 | 2.163 | 0.850 | 0.537
3.160, 6.0 | 2.162 | 0.850 | 0.539
3.160, 7.0 | 2.160 | 0.850 | 0.540
3.160, 8.0 | 2.159 | 0.849 | 0.541
3.160, 9.0 | 2.158 | 0.849 | 0.543
3.160, 10.0 | 2.157 | 0.849 | 0.544
3.160, 11.0 | 2.156 | 0.849 | 0.544
3.160, 12.0 | 2.155 | 0.849 | 0.545
3.160, 13.0 | 2.155 | 0.849 | 0.546
3.160, 14.0 | 2.154 | 0.850 | 0.546
3.160, 15.0 | 2.154 | 0.850 | 0.547
3.160, 16.0 | 2.153 | 0.850 | 0.547
3.160, 17.0 | 2.153 | 0.850 | 0.547
3.160, 18.0 | 2.153 | 0.850 | 0.547
3.160, 19.0 | 2.152 | 0.850 | 0.547
3.160, 20.0 | 2.152 | 0.851 | 0.547
3.170, 0.0 | 2.178 | 0.853 | 0.519
3.170, 1.0 | 2.176 | 0.853 | 0.521
3.170, 2.0 | 2.174 | 0.853 | 0.523
3.170, 3.0 | 2.173 | 0.852 | 0.525
3.170, 4.0 | 2.171 | 0.852 | 0.527
3.170, 5.0 | 2.170 | 0.852 | 0.528
3.170, 6.0 | 2.168 | 0.852 | 0.530
3.170, 7.0 | 2.167 | 0.852 | 0.531
3.170, 8.0 | 2.166 | 0.852 | 0.532
3.170, 9.0 | 2.165 | 0.852 | 0.534
3.170, 10.0 | 2.164 | 0.852 | 0.535
3.170, 11.0 | 2.163 | 0.852 | 0.536
3.170, 12.0 | 2.162 | 0.852 | 0.536
3.170, 13.0 | 2.161 | 0.852 | 0.537
