w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.480, 16.0 | 2.371 | 0.933 | 0.428
3.480, 17.0 | 2.371 | 0.933 | 0.428
3.480, 18.0 | 2.370 | 0.933 | 0.427
3.480, 19.0 | 2.370 | 0.934 | 0.427
3.480, 20.0 | 2.370 | 0.934 | 0.426
3.490, 0.0 | 2.391 | 0.936 | 0.445
3.490, 1.0 | 2.390 | 0.936 | 0.444
3.490, 2.0 | 2.389 | 0.935 | 0.443
3.490, 3.0 | 2.387 | 0.935 | 0.442
3.490, 4.0 | 2.386 | 0.935 | 0.441
3.490, 5.0 | 2.385 | 0.935 | 0.440
3.490, 6.0 | 2.384 | 0.935 | 0.439
3.490, 7.0 | 2.383 | 0.935 | 0.438
3.490, 8.0 | 2.382 | 0.935 | 0.437
3.490, 9.0 | 2.381 | 0.935 | 0.437
3.490, 10.0 | 2.381 | 0.935 | 0.436
3.490, 11.0 | 2.380 | 0.935 | 0.435
3.490, 12.0 | 2.379 | 0.935 | 0.434
3.490, 13.0 | 2.379 | 0.935 | 0.434
3.490, 14.0 | 2.378 | 0.935 | 0.433
3.490, 15.0 | 2.378 | 0.935 | 0.432
3.490, 16.0 | 2.378 | 0.936 | 0.432
3.490, 17.0 | 2.377 | 0.936 | 0.431
3.490, 18.0 | 2.377 | 0.936 | 0.431
3.490, 19.0 | 2.377 | 0.937 | 0.431
3.490, 20.0 | 2.377 | 0.937 | 0.430
3.500, 0.0 | 2.398 | 0.939 | 0.449
3.500, 1.0 | 2.397 | 0.939 | 0.448
3.500, 2.0 | 2.395 | 0.939 | 0.447
3.500, 3.0 | 2.394 | 0.938 | 0.446
3.500, 4.0 | 2.393 | 0.938 | 0.445
3.500, 5.0 | 2.392 | 0.938 | 0.444
3.500, 6.0 | 2.391 | 0.938 | 0.443
3.500, 7.0 | 2.390 | 0.938 | 0.442
3.500, 8.0 | 2.389 | 0.938 | 0.441
3.500, 9.0 | 2.388 | 0.938 | 0.440
3.500, 10.0 | 2.387 | 0.938 | 0.440
3.500, 11.0 | 2.387 | 0.938 | 0.439
3.500, 12.0 | 2.386 | 0.938 | 0.438
3.500, 13.0 | 2.386 | 0.938 | 0.437
3.500, 14.0 | 2.385 | 0.938 | 0.437
3.500, 15.0 | 2.385 | 0.939 | 0.436
3.500, 16.0 | 2.384 | 0.939 | 0.436
3.500, 17.0 | 2.384 | 0.939 | 0.435
3.500, 18.0 | 2.384 | 0.939 | 0.435
3.500, 19.0 | 2.384 | 0.940 | 0.434
3.500, 20.0 | 2.384 | 0.940 | 0.434
3.510, 0.0 | 2.405 | 0.942 | 0.453
3.510, 1.0 | 2.403 | 0.942 | 0.451
3.510, 2.0 | 2.402 | 0.942 | 0.450
3.510, 3.0 | 2.401 | 0.941 | 0.449
3.510, 4.0 | 2.400 | 0.941 | 0.448
3.510, 5.0 | 2.398 | 0.941 | 0.447
3.510, 6.0 | 2.397 | 0.941 | 0.446
3.510, 7.0 | 2.397 | 0.941 | 0.446
3.510, 8.0 | 2.396 | 0.941 | 0.445
3.510, 9.0 | 2.395 | 0.941 | 0.444
3.510, 10.0 | 2.394 | 0.941 | 0.443
3.510, 11.0 | 2.394 | 0.941 | 0.442
3.510, 12.0 | 2.393 | 0.941 | 0.442
3.510, 13.0 | 2.392 | 0.941 | 0.441
3.510, 14.0 | 2.392 | 0.941 | 0.440
3.510, 15.0 | 2.392 | 0.942 | 0.440
3.510, 16.0 | 2.391 | 0.942 | 0.439
3.510, 17.0 | 2.391 | 0.942 | 0.439
3.510, 18.0 | 2.391 | 0.942 | 0.438
3.510, 19.0 | 2.391 | 0.943 | 0.438
3.510, 20.0 | 2.391 | 0.943 | 0.438
3.520, 0.0 | 2.411 | 0.945 | 0.456
3.520, 1.0 | 2.410 | 0.945 | 0.455
3.520, 2.0 | 2.409 | 0.945 | 0.454
3.520, 3.0 | 2.407 | 0.945 | 0.453
3.520, 4.0 | 2.406 | 0.944 | 0.452
3.520, 5.0 | 2.405 | 0.944 | 0.451
3.520, 6.0 | 2.404 | 0.944 | 0.450
3.520, 7.0 | 2.403 | 0.944 | 0.449
3.520, 8.0 | 2.402 | 0.944 | 0.448
3.520, 9.0 | 2.402 | 0.944 | 0.448
3.520, 10.0 | 2.401 | 0.944 | 0.447
3.520, 11.0 | 2.400 | 0.944 | 0.446
3.520, 12.0 | 2.400 | 0.944 | 0.445
3.520, 13.0 | 2.399 | 0.944 | 0.445
3.520, 14.0 | 2.399 | 0.945 | 0.444
3.520, 15.0 | 2.398 | 0.945 | 0.444
3.520, 16.0 | 2.398 | 0.945 | 0.443
3.520, 17.0 | 2.398 | 0.945 | 0.442
3.520, 18.0 | 2.398 | 0.946 | 0.442
3.520, 19.0 | 2.398 | 0.946 | 0.442
3.520, 20.0 | 2.397 | 0.946 | 0.441
3.530, 0.0 | 2.418 | 0.948 | 0.460
3.530, 1.0 | 2.417 | 0.948 | 0.459
3.530, 2.0 | 2.415 | 0.948 | 0.457
3.530, 3.0 | 2.414 | 0.948 | 0.456
3.530, 4.0 | 2.413 | 0.948 | 0.456
3.530, 5.0 | 2.412 | 0.947 | 0.455
3.530, 6.0 | 2.411 | 0.947 | 0.454
3.530, 7.0 | 2.410 | 0.947 | 0.453
3.530, 8.0 | 2.409 | 0.947 | 0.452
3.530, 9.0 | 2.408 | 0.947 | 0.451
3.530, 10.0 | 2.408 | 0.947 | 0.450
3.530, 11.0 | 2.407 | 0.947 | 0.450
3.530, 12.0 | 2.407 | 0.948 | 0.449
3.530, 13.0 | 2.406 | 0.948 | 0.448
3.530, 14.0 | 2.406 | 0.948 | 0.448
3.530, 15.0 | 2.405 | 0.948 | 0.447
3.530, 16.0 | 2.405 | 0.948 | 0.447
3.530, 17.0 | 2.405 | 0.949 | 0.446
3.530, 18.0 | 2.404 | 0.949 | 0.446
3.530, 19.0 | 2.404 | 0.949 | 0.445
3.530, 20.0 | 2.404 | 0.950 | 0.445
3.540, 0.0 | 2.425 | 0.952 | 0.463
3.540, 1.0 | 2.423 | 0.951 | 0.462
3.540, 2.0 | 2.422 | 0.951 | 0.461
3.540, 3.0 | 2.421 | 0.951 | 0.460
3.540, 4.0 | 2.420 | 0.951 | 0.459
3.540, 5.0 | 2.419 | 0.951 | 0.458
3.540, 6.0 | 2.418 | 0.951 | 0.457
3.540, 7.0 | 2.417 | 0.951 | 0.456
3.540, 8.0 | 2.416 | 0.950 | 0.456
3.540, 9.0 | 2.415 | 0.950 | 0.455
3.540, 10.0 | 2.415 | 0.951 | 0.454
3.540, 11.0 | 2.414 | 0.951 | 0.453
3.540, 12.0 | 2.413 | 0.951 | 0.453
3.540, 13.0 | 2.413 | 0.951 | 0.452
3.540, 14.0 | 2.412 | 0.951 | 0.451
3.540, 15.0 | 2.412 | 0.951 | 0.451
3.540, 16.0 | 2.412 | 0.951 | 0.450
3.540, 17.0 | 2.411 | 0.952 | 0.450
3.540, 18.0 | 2.411 | 0.952 | 0.449
3.540, 19.0 | 2.411 | 0.952 | 0.449
3.540, 20.0 | 2.411 | 0.953 | 0.448
3.550, 0.0 | 2.431 | 0.955 | 0.467
3.550, 1.0 | 2.430 | 0.955 | 0.466
3.550, 2.0 | 2.429 | 0.954 | 0.465
3.550, 3.0 | 2.428 | 0.954 | 0.464
3.550, 4.0 | 2.427 | 0.954 | 0.463
3.550, 5.0 | 2.426 | 0.954 | 0.462
3.550, 6.0 | 2.425 | 0.954 | 0.461
3.550, 7.0 | 2.424 | 0.954 | 0.460
3.550, 8.0 | 2.423 | 0.954 | 0.459
3.550, 9.0 | 2.422 | 0.954 | 0.458
3.550, 10.0 | 2.421 | 0.954 | 0.458
3.550, 11.0 | 2.421 | 0.954 | 0.457
3.550, 12.0 | 2.420 | 0.954 | 0.456
3.550, 13.0 | 2.420 | 0.954 | 0.455
3.550, 14.0 | 2.419 | 0.954 | 0.455
3.550, 15.0 | 2.419 | 0.954 | 0.454
3.550, 16.0 | 2.418 | 0.955 | 0.454
3.550, 17.0 | 2.418 | 0.955 | 0.453
3.550, 18.0 | 2.418 | 0.955 | 0.453
3.550, 19.0 | 2.418 | 0.956 | 0.452
3.550, 20.0 | 2.418 | 0.956 | 0.452
3.560, 0.0 | 2.438 | 0.958 | 0.470
3.560, 1.0 | 2.437 | 0.958 | 0.469
3.560, 2.0 | 2.436 | 0.958 | 0.468
3.560, 3.0 | 2.434 | 0.957 | 0.467
3.560, 4.0 | 2.433 | 0.957 | 0.466
3.560, 5.0 | 2.432 | 0.957 | 0.465
3.560, 6.0 | 2.431 | 0.957 | 0.464
3.560, 7.0 | 2.430 | 0.957 | 0.463
3.560, 8.0 | 2.430 | 0.957 | 0.463
3.560, 9.0 | 2.429 | 0.957 | 0.462
3.560, 10.0 | 2.428 | 0.957 | 0.461
3.560, 11.0 | 2.427 | 0.957 | 0.460
3.560, 12.0 | 2.427 | 0.957 | 0.460
3.560, 13.0 | 2.426 | 0.957 | 0.459
3.560, 14.0 | 2.426 | 0.958 | 0.458
3.560, 15.0 | 2.426 | 0.958 | 0.458
3.560, 16.0 | 2.425 | 0.958 | 0.457
3.560, 17.0 | 2.425 | 0.958 | 0.457
3.560, 18.0 | 2.425 | 0.959 | 0.456
3.560, 19.0 | 2.425 | 0.959 | 0.456
3.560, 20.0 | 2.425 | 0.959 | 0.456
3.570, 0.0 | 2.445 | 0.961 | 0.473
3.570, 1.0 | 2.443 | 0.961 | 0.472
3.570, 2.0 | 2.442 | 0.961 | 0.471
3.570, 3.0 | 2.441 | 0.961 | 0.470
3.570, 4.0 | 2.440 | 0.961 | 0.470
3.570, 5.0 | 2.439 | 0.960 | 0.469
3.570, 6.0 | 2.438 | 0.960 | 0.468
3.570, 7.0 | 2.437 | 0.960 | 0.467
3.570, 8.0 | 2.436 | 0.960 | 0.466
3.570, 9.0 | 2.436 | 0.960 | 0.465
3.570, 10.0 | 2.435 | 0.960 | 0.465
3.570, 11.0 | 2.434 | 0.960 | 0.464
3.570, 12.0 | 2.434 | 0.961 | 0.463
3.570, 13.0 | 2.433 | 0.961 | 0.463
3.570, 14.0 | 2.433 | 0.961 | 0.462
3.570, 15.0 | 2.432 | 0.961 | 0.461
3.570, 16.0 | 2.432 | 0.961 | 0.461
3.570, 17.0 | 2.432 | 0.962 | 0.460
3.570, 18.0 | 2.432 | 0.962 | 0.460
3.570, 19.0 | 2.432 | 0.962 | 0.459
3.570, 20.0 | 2.432 | 0.963 | 0.459
3.580, 0.0 | 2.451 | 0.965 | 0.477
3.580, 1.0 | 2.450 | 0.964 | 0.476
3.580, 2.0 | 2.449 | 0.964 | 0.475
3.580, 3.0 | 2.448 | 0.964 | 0.474
3.580, 4.0 | 2.447 | 0.964 | 0.473
3.580, 5.0 | 2.446 | 0.964 | 0.472
3.580, 6.0 | 2.445 | 0.964 | 0.471
3.580, 7.0 | 2.444 | 0.964 | 0.470
3.580, 8.0 | 2.443 | 0.964 | 0.470
3.580, 9.0 | 2.442 | 0.964 | 0.469
3.580, 10.0 | 2.442 | 0.964 | 0.468
3.580, 11.0 | 2.441 | 0.964 | 0.467
3.580, 12.0 | 2.440 | 0.964 | 0.467
3.580, 13.0 | 2.440 | 0.964 | 0.466
3.580, 14.0 | 2.440 | 0.964 | 0.465
3.580, 15.0 | 2.439 | 0.964 | 0.465
3.580, 16.0 | 2.439 | 0.965 | 0.464
3.580, 17.0 | 2.439 | 0.965 | 0.464
3.580, 18.0 | 2.438 | 0.965 | 0.463
3.580, 19.0 | 2.438 | 0.966 | 0.463
3.580, 20.0 | 2.438 | 0.966 | 0.462
3.590, 0.0 | 2.458 | 0.968 | 0.480
3.590, 1.0 | 2.457 | 0.968 | 0.479
3.590, 2.0 | 2.456 | 0.968 | 0.478
3.590, 3.0 | 2.455 | 0.967 | 0.477
3.590, 4.0 | 2.453 | 0.967 | 0.476
3.590, 5.0 | 2.452 | 0.967 | 0.475
3.590, 6.0 | 2.452 | 0.967 | 0.475
3.590, 7.0 | 2.451 | 0.967 | 0.474
3.590, 8.0 | 2.450 | 0.967 | 0.473
3.590, 9.0 | 2.449 | 0.967 | 0.472
3.590, 10.0 | 2.448 | 0.967 | 0.471
3.590, 11.0 | 2.448 | 0.967 | 0.471
3.590, 12.0 | 2.447 | 0.967 | 0.470
3.590, 13.0 | 2.447 | 0.967 | 0.469
3.590, 14.0 | 2.446 | 0.968 | 0.469
3.590, 15.0 | 2.446 | 0.968 | 0.468
3.590, 16.0 | 2.446 | 0.968 | 0.468
3.590, 17.0 | 2.446 | 0.968 | 0.467
3.590, 18.0 | 2.445 | 0.969 | 0.467
3.590, 19.0 | 2.445 | 0.969 | 0.466
3.590, 20.0 | 2.445 | 0.969 | 0.466
3.600, 0.0 | 2.465 | 0.971 | 0.483
3.600, 1.0 | 2.464 | 0.971 | 0.482
3.600, 2.0 | 2.462 | 0.971 | 0.481
3.600, 3.0 | 2.461 | 0.971 | 0.481
3.600, 4.0 | 2.460 | 0.971 | 0.480
3.600, 5.0 | 2.459 | 0.971 | 0.479
3.600, 6.0 | 2.458 | 0.970 | 0.478
3.600, 7.0 | 2.457 | 0.970 | 0.477
3.600, 8.0 | 2.457 | 0.970 | 0.476
3.600, 9.0 | 2.456 | 0.970 | 0.475
3.600, 10.0 | 2.455 | 0.970 | 0.475
3.600, 11.0 | 2.455 | 0.971 | 0.474
3.600, 12.0 | 2.454 | 0.971 | 0.473
3.600, 13.0 | 2.454 | 0.971 | 0.473
3.600, 14.0 | 2.453 | 0.971 | 0.472
3.600, 15.0 | 2.453 | 0.971 | 0.472
3.600, 16.0 | 2.453 | 0.971 | 0.471
3.600, 17.0 | 2.452 | 0.972 | 0.471
3.600, 18.0 | 2.452 | 0.972 | 0.470
3.600, 19.0 | 2.452 | 0.972 | 0.470
3.600, 20.0 | 2.452 | 0.973 | 0.469
3.610, 0.0 | 2.472 | 0.975 | 0.487
3.610, 1.0 | 2.470 | 0.975 | 0.486
3.610, 2.0 | 2.469 | 0.974 | 0.485
3.610, 3.0 | 2.468 | 0.974 | 0.484
3.610, 4.0 | 2.467 | 0.974 | 0.483
3.610, 5.0 | 2.466 | 0.974 | 0.482
3.610, 6.0 | 2.465 | 0.974 | 0.481
3.610, 7.0 | 2.464 | 0.974 | 0.480
3.610, 8.0 | 2.463 | 0.974 | 0.480
3.610, 9.0 | 2.463 | 0.974 | 0.479
3.610, 10.0 | 2.462 | 0.974 | 0.478
3.610, 11.0 | 2.461 | 0.974 | 0.477
3.610, 12.0 | 2.461 | 0.974 | 0.477
3.610, 13.0 | 2.460 | 0.974 | 0.476
3.610, 14.0 | 2.460 | 0.974 | 0.476
3.610, 15.0 | 2.460 | 0.975 | 0.475
3.610, 16.0 | 2.459 | 0.975 | 0.474
3.610, 17.0 | 2.459 | 0.975 | 0.474
3.610, 18.0 | 2.459 | 0.976 | 0.473
3.610, 19.0 | 2.459 | 0.976 | 0.473
3.610, 20.0 | 2.459 | 0.976 | 0.473
3.620, 0.0 | 2.478 | 0.978 | 0.490
3.620, 1.0 | 2.477 | 0.978 | 0.489
3.620, 2.0 | 2.476 | 0.978 | 0.488
3.620, 3.0 | 2.475 | 0.978 | 0.487
3.620, 4.0 | 2.474 | 0.978 | 0.486
3.620, 5.0 | 2.473 | 0.977 | 0.485
3.620, 6.0 | 2.472 | 0.977 | 0.484
3.620, 7.0 | 2.471 | 0.977 | 0.484
3.620, 8.0 | 2.470 | 0.977 | 0.483
3.620, 9.0 | 2.469 | 0.977 | 0.482
3.620, 10.0 | 2.469 | 0.977 | 0.481
3.620, 11.0 | 2.468 | 0.977 | 0.481
3.620, 12.0 | 2.468 | 0.978 | 0.480
3.620, 13.0 | 2.467 | 0.978 | 0.479
3.620, 14.0 | 2.467 | 0.978 | 0.479
3.620, 15.0 | 2.466 | 0.978 | 0.478
3.620, 16.0 | 2.466 | 0.978 | 0.478
3.620, 17.0 | 2.466 | 0.979 | 0.477
3.620, 18.0 | 2.466 | 0.979 | 0.477
3.620, 19.0 | 2.466 | 0.979 | 0.476
3.620, 20.0 | 2.466 | 0.980 | 0.476
3.630, 0.0 | 2.485 | 0.982 | 0.493
3.630, 1.0 | 2.484 | 0.982 | 0.492
3.630, 2.0 | 2.483 | 0.981 | 0.491
3.630, 3.0 | 2.482 | 0.981 | 0.490
3.630, 4.0 | 2.480 | 0.981 | 0.489
3.630, 5.0 | 2.480 | 0.981 | 0.489
3.630, 6.0 | 2.479 | 0.981 | 0.488
3.630, 7.0 | 2.478 | 0.981 | 0.487
3.630, 8.0 | 2.477 | 0.981 | 0.486
3.630, 9.0 | 2.476 | 0.981 | 0.485
3.630, 10.0 | 2.476 | 0.981 | 0.485
3.630, 11.0 | 2.475 | 0.981 | 0.484
3.630, 12.0 | 2.474 | 0.981 | 0.483
3.630, 13.0 | 2.474 | 0.981 | 0.483
3.630, 14.0 | 2.474 | 0.981 | 0.482
3.630, 15.0 | 2.473 | 0.982 | 0.482
3.630, 16.0 | 2.473 | 0.982 | 0.481
3.630, 17.0 | 2.473 | 0.982 | 0.481
3.630, 18.0 | 2.473 | 0.983 | 0.480
3.630, 19.0 | 2.472 | 0.983 | 0.480
3.630, 20.0 | 2.472 | 0.983 | 0.479
3.640, 0.0 | 2.492 | 0.985 | 0.496
3.640, 1.0 | 2.490 | 0.985 | 0.495
3.640, 2.0 | 2.489 | 0.985 | 0.495
3.640, 3.0 | 2.488 | 0.985 | 0.494
3.640, 4.0 | 2.487 | 0.985 | 0.493
3.640, 5.0 | 2.486 | 0.984 | 0.492
3.640, 6.0 | 2.485 | 0.984 | 0.491
3.640, 7.0 | 2.485 | 0.984 | 0.490
3.640, 8.0 | 2.484 | 0.984 | 0.489
3.640, 9.0 | 2.483 | 0.984 | 0.489
3.640, 10.0 | 2.482 | 0.984 | 0.488
3.640, 11.0 | 2.482 | 0.984 | 0.487
3.640, 12.0 | 2.481 | 0.985 | 0.487
3.640, 13.0 | 2.481 | 0.985 | 0.486
3.640, 14.0 | 2.480 | 0.985 | 0.485
3.640, 15.0 | 2.480 | 0.985 | 0.485
3.640, 16.0 | 2.480 | 0.985 | 0.484
3.640, 17.0 | 2.480 | 0.986 | 0.484
3.640, 18.0 | 2.479 | 0.986 | 0.483
3.640, 19.0 | 2.479 | 0.986 | 0.483
3.640, 20.0 | 2.479 | 0.987 | 0.482
3.650, 0.0 | 2.498 | 0.989 | 0.500
3.650, 1.0 | 2.497 | 0.989 | 0.499
3.650, 2.0 | 2.496 | 0.988 | 0.498
3.650, 3.0 | 2.495 | 0.988 | 0.497
3.650, 4.0 | 2.494 | 0.988 | 0.496
3.650, 5.0 | 2.493 | 0.988 | 0.495
3.650, 6.0 | 2.492 | 0.988 | 0.494
3.650, 7.0 | 2.491 | 0.988 | 0.493
3.650, 8.0 | 2.491 | 0.988 | 0.493
3.650, 9.0 | 2.490 | 0.988 | 0.492
3.650, 10.0 | 2.489 | 0.988 | 0.491
3.650, 11.0 | 2.489 | 0.988 | 0.491
3.650, 12.0 | 2.488 | 0.988 | 0.490
3.650, 13.0 | 2.488 | 0.988 | 0.489
3.650, 14.0 | 2.487 | 0.989 | 0.489
3.650, 15.0 | 2.487 | 0.989 | 0.488
3.650, 16.0 | 2.487 | 0.989 | 0.488
3.650, 17.0 | 2.486 | 0.989 | 0.487
3.650, 18.0 | 2.486 | 0.990 | 0.487
3.650, 19.0 | 2.486 | 0.990 | 0.486
3.650, 20.0 | 2.486 | 0.990 | 0.486
3.660, 0.0 | 2.505 | 0.992 | 0.503
3.660, 1.0 | 2.504 | 0.992 | 0.502
3.660, 2.0 | 2.503 | 0.992 | 0.501
3.660, 3.0 | 2.502 | 0.992 | 0.500
3.660, 4.0 | 2.501 | 0.992 | 0.499
3.660, 5.0 | 2.500 | 0.992 | 0.498
3.660, 6.0 | 2.499 | 0.991 | 0.497
3.660, 7.0 | 2.498 | 0.991 | 0.497
3.660, 8.0 | 2.497 | 0.991 | 0.496
3.660, 9.0 | 2.497 | 0.991 | 0.495
3.660, 10.0 | 2.496 | 0.992 | 0.494
3.660, 11.0 | 2.495 | 0.992 | 0.494
3.660, 12.0 | 2.495 | 0.992 | 0.493
3.660, 13.0 | 2.494 | 0.992 | 0.492
3.660, 14.0 | 2.494 | 0.992 | 0.492
3.660, 15.0 | 2.494 | 0.992 | 0.491
3.660, 16.0 | 2.493 | 0.993 | 0.491
3.660, 17.0 | 2.493 | 0.993 | 0.490
3.660, 18.0 | 2.493 | 0.993 | 0.490
3.660, 19.0 | 2.493 | 0.994 | 0.489
3.660, 20.0 | 2.493 | 0.994 | 0.489
3.670, 0.0 | 2.512 | 0.996 | 0.506
3.670, 1.0 | 2.511 | 0.996 | 0.505
3.670, 2.0 | 2.510 | 0.996 | 0.504
3.670, 3.0 | 2.508 | 0.995 | 0.503
3.670, 4.0 | 2.507 | 0.995 | 0.502
3.670, 5.0 | 2.507 | 0.995 | 0.501
3.670, 6.0 | 2.506 | 0.995 | 0.501
3.670, 7.0 | 2.505 | 0.995 | 0.500
3.670, 8.0 | 2.504 | 0.995 | 0.499
3.670, 9.0 | 2.503 | 0.995 | 0.498
3.670, 10.0 | 2.503 | 0.995 | 0.498
3.670, 11.0 | 2.502 | 0.995 | 0.497
3.670, 12.0 | 2.502 | 0.995 | 0.496
3.670, 13.0 | 2.501 | 0.996 | 0.496
3.670, 14.0 | 2.501 | 0.996 | 0.495
3.670, 15.0 | 2.500 | 0.996 | 0.494
3.670, 16.0 | 2.500 | 0.996 | 0.494
3.670, 17.0 | 2.500 | 0.997 | 0.493
3.670, 18.0 | 2.500 | 0.997 | 0.493
3.670, 19.0 | 2.500 | 0.997 | 0.493
3.670, 20.0 | 2.500 | 0.998 | 0.492
3.680, 0.0 | 2.519 | 1.000 | 0.509
3.680, 1.0 | 2.517 | 0.999 | 0.508
3.680, 2.0 | 2.516 | 0.999 | 0.507
3.680, 3.0 | 2.515 | 0.999 | 0.506
3.680, 4.0 | 2.514 | 0.999 | 0.505
3.680, 5.0 | 2.513 | 0.999 | 0.504
3.680, 6.0 | 2.512 | 0.999 | 0.504
3.680, 7.0 | 2.512 | 0.999 | 0.503
3.680, 8.0 | 2.511 | 0.999 | 0.502
3.680, 9.0 | 2.510 | 0.999 | 0.501
3.680, 10.0 | 2.510 | 0.999 | 0.501
3.680, 11.0 | 2.509 | 0.999 | 0.500
3.680, 12.0 | 2.508 | 0.999 | 0.499
3.680, 13.0 | 2.508 | 0.999 | 0.499
3.680, 14.0 | 2.508 | 0.999 | 0.498
3.680, 15.0 | 2.507 | 1.000 | 0.498
3.680, 16.0 | 2.507 | 1.000 | 0.497
3.680, 17.0 | 2.507 | 1.000 | 0.497
3.680, 18.0 | 2.507 | 1.001 | 0.496
3.680, 19.0 | 2.507 | 1.001 | 0.496
3.680, 20.0 | 2.507 | 1.001 | 0.495
3.690, 0.0 | 2.525 | 1.003 | 0.512
3.690, 1.0 | 2.524 | 1.003 | 0.511
3.690, 2.0 | 2.523 | 1.003 | 0.510
3.690, 3.0 | 2.522 | 1.003 | 0.509
3.690, 4.0 | 2.521 | 1.003 | 0.508
3.690, 5.0 | 2.520 | 1.003 | 0.508
3.690, 6.0 | 2.519 | 1.002 | 0.507
3.690, 7.0 | 2.518 | 1.002 | 0.506
3.690, 8.0 | 2.518 | 1.002 | 0.505
3.690, 9.0 | 2.517 | 1.002 | 0.504
3.690, 10.0 | 2.516 | 1.003 | 0.504
3.690, 11.0 | 2.516 | 1.003 | 0.503
3.690, 12.0 | 2.515 | 1.003 | 0.502
3.690, 13.0 | 2.515 | 1.003 | 0.502
3.690, 14.0 | 2.514 | 1.003 | 0.501
3.690, 15.0 | 2.514 | 1.003 | 0.501
3.690, 16.0 | 2.514 | 1.004 | 0.500
3.690, 17.0 | 2.514 | 1.004 | 0.500
3.690, 18.0 | 2.513 | 1.004 | 0.499
3.690, 19.0 | 2.513 | 1.005 | 0.499
3.690, 20.0 | 2.513 | 1.005 | 0.498
3.700, 0.0 | 2.532 | 1.007 | 0.515
3.700, 1.0 | 2.531 | 1.007 | 0.514
3.700, 2.0 | 2.530 | 1.007 | 0.513
3.700, 3.0 | 2.529 | 1.006 | 0.512
3.700, 4.0 | 2.528 | 1.006 | 0.511
3.700, 5.0 | 2.527 | 1.006 | 0.511
3.700, 6.0 | 2.526 | 1.006 | 0.510
3.700, 7.0 | 2.525 | 1.006 | 0.509
3.700, 8.0 | 2.524 | 1.006 | 0.508
3.700, 9.0 | 2.524 | 1.006 | 0.508
3.700, 10.0 | 2.523 | 1.006 | 0.507
3.700, 11.0 | 2.523 | 1.006 | 0.506
3.700, 12.0 | 2.522 | 1.007 | 0.506
3.700, 13.0 | 2.522 | 1.007 | 0.505
3.700, 14.0 | 2.521 | 1.007 | 0.504
3.700, 15.0 | 2.521 | 1.007 | 0.504
3.700, 16.0 | 2.521 | 1.007 | 0.503
3.700, 17.0 | 2.520 | 1.008 | 0.503
3.700, 18.0 | 2.520 | 1.008 | 0.502
3.700, 19.0 | 2.520 | 1.008 | 0.502
3.700, 20.0 | 2.520 | 1.009 | 0.501
3.710, 0.0 | 2.539 | 1.011 | 0.518
3.710, 1.0 | 2.538 | 1.011 | 0.517
3.710, 2.0 | 2.536 | 1.010 | 0.516
3.710, 3.0 | 2.535 | 1.010 | 0.515
3.710, 4.0 | 2.534 | 1.010 | 0.514
3.710, 5.0 | 2.534 | 1.010 | 0.513
3.710, 6.0 | 2.533 | 1.010 | 0.513
3.710, 7.0 | 2.532 | 1.010 | 0.512
3.710, 8.0 | 2.531 | 1.010 | 0.511
3.710, 9.0 | 2.530 | 1.010 | 0.511
3.710, 10.0 | 2.530 | 1.010 | 0.510
3.710, 11.0 | 2.529 | 1.010 | 0.509
3.710, 12.0 | 2.529 | 1.010 | 0.509
3.710, 13.0 | 2.528 | 1.010 | 0.508
3.710, 14.0 | 2.528 | 1.011 | 0.507
3.710, 15.0 | 2.528 | 1.011 | 0.507
3.710, 16.0 | 2.527 | 1.011 | 0.506
3.710, 17.0 | 2.527 | 1.011 | 0.506
3.710, 18.0 | 2.527 | 1.012 | 0.505
3.710, 19.0 | 2.527 | 1.012 | 0.505
3.710, 20.0 | 2.527 | 1.013 | 0.504
3.720, 0.0 | 2.545 | 1.015 | 0.521
3.720, 1.0 | 2.544 | 1.014 | 0.520
3.720, 2.0 | 2.543 | 1.014 | 0.519
3.720, 3.0 | 2.542 | 1.014 | 0.518
3.720, 4.0 | 2.541 | 1.014 | 0.517
3.720, 5.0 | 2.540 | 1.014 | 0.516
3.720, 6.0 | 2.539 | 1.014 | 0.516
3.720, 7.0 | 2.539 | 1.014 | 0.515
3.720, 8.0 | 2.538 | 1.014 | 0.514
3.720, 9.0 | 2.537 | 1.014 | 0.513
3.720, 10.0 | 2.537 | 1.014 | 0.513
3.720, 11.0 | 2.536 | 1.014 | 0.512
3.720, 12.0 | 2.536 | 1.014 | 0.512
3.720, 13.0 | 2.535 | 1.014 | 0.511
3.720, 14.0 | 2.535 | 1.014 | 0.510
3.720, 15.0 | 2.534 | 1.015 | 0.510
3.720, 16.0 | 2.534 | 1.015 | 0.509
3.720, 17.0 | 2.534 | 1.015 | 0.509
3.720, 18.0 | 2.534 | 1.016 | 0.508
3.720, 19.0 | 2.534 | 1.016 | 0.508
3.720, 20.0 | 2.534 | 1.016 | 0.507
3.730, 0.0 | 2.552 | 1.018 | 0.524
3.730, 1.0 | 2.551 | 1.018 | 0.523
3.730, 2.0 | 2.550 | 1.018 | 0.522
3.730, 3.0 | 2.549 | 1.018 | 0.521
3.730, 4.0 | 2.548 | 1.018 | 0.520
3.730, 5.0 | 2.547 | 1.018 | 0.519
3.730, 6.0 | 2.546 | 1.018 | 0.519
3.730, 7.0 | 2.545 | 1.018 | 0.518
